country,year,brutto_lop
deu,2013,3628559.3365
deu,2014,3807114.5208
deu,2015,3889081.8956
deu,2016,4165169.9046
deu,2017,4386729.188
deu,2018,4576056.5322
deu,2019,4840311.7738
deu,2020,4815444.9693
deu,2021,5153137.0902
deu,2022,5582292.0741
deu,2023,5859344.5591
deu,2024,
grc,2000,210915.00068
grc,2001,227680.92842
grc,2002,246559.28104
grc,2003,261158.09898
grc,2004,278930.94326
grc,2005,281028.39627
grc,2006,314619.94494
grc,2007,324017.77207
grc,2008,341817.82924
grc,2009,337189.73403
grc,2010,310377.4851
grc,2011,285079.56067
grc,2012,275143.68301
grc,2013,284949.07639
grc,2014,290011.37926
grc,2015,289570.64361
grc,2016,296466.61356
grc,2017,307636.01282
grc,2018,317881.48063
grc,2019,338922.20408
grc,2020,311203.34457
grc,2021,348976.45552
grc,2022,405841.8774
grc,2023,426748.54008
grc,2024,
hun,2000,121047.8288
hun,2001,134596.49181
hun,2002,147567.88389
hun,2003,156796.35928
hun,2004,164436.27925
hun,2005,172572.94362
hun,2006,185148.36175
hun,2007,192051.58416
hun,2008,208006.33684
hun,2009,207690.00896
hun,2010,217389.46645
hun,2011,229643.36022
hun,2012,230821.51087
hun,2013,242855.18359
hun,2014,253484.63232
hun,2015,263781.87254
hun,2016,274222.7118
hun,2017,288707.44789
hun,2018,311927.13664
hun,2019,343481.04822
hun,2020,341546.87387
hun,2021,375267.84775
hun,2022,420223.65717
hun,2023,440579.52585
hun,2024,
isl,2000,8375.093072
isl,2001,9086.333223
isl,2002,9375.2929437
isl,2003,9467.640441
isl,2004,10402.862057
isl,2005,11074.925956
isl,2006,12060.170188
isl,2007,12921.528418
isl,2008,13879.915633
isl,2009,13333.310853
isl,2010,12647.987143
isl,2011,13059.433991
isl,2012,13471.498451
isl,2013,14378.252088
isl,2014,15058.763554
isl,2015,16276.449983
isl,2016,17939.41093
isl,2017,19106.258145
isl,2018,20174.853835
isl,2019,21822.649371
isl,2020,20447.442676
isl,2021,23083.729558
isl,2022,28066.333361
isl,2023,30530.446716
isl,2024,
irl,2000,114952.32427
irl,2001,125950.28251
irl,2002,138490.84187
irl,2003,145013.78073
irl,2004,157659.72362
irl,2005,168336.08086
irl,2006,189029.92448
irl,2007,205800.51152
irl,2008,198299.13005
irl,2009,188081.36958
irl,2010,197012.28549
irl,2011,206639.608
irl,2012,212883.42072
irl,2013,221005.18682
irl,2014,238656.91425
irl,2015,325443.07784
irl,2016,339580.36005
irl,2017,375788.61072
irl,2018,413324.13835
irl,2019,448731.77038
irl,2020,483914.31033
irl,2021,574387.15032
irl,2022,686132.1548
irl,2023,671603.3638
irl,2024,
isr,2000,161814.57327
isr,2001,165742.20223
isr,2002,171106.70626
isr,2003,164972.80034
isr,2004,177329.08577
isr,2005,177607.49523
isr,2006,185766.92902
isr,2007,202278.54393
isr,2008,204628.85909
isr,2009,209388.44471
isr,2010,223841.42112
isr,2011,242552.85572
isr,2012,256309.66375
isr,2013,279898.83928
isr,2014,285199.50937
isr,2015,299862.53677
isr,2016,325370.41219
isr,2017,342747.66474
isr,2018,355910.25357
isr,2019,373231.12367
isr,2020,378291.20613
isr,2021,433318.3609
isr,2022,498266.98686
isr,2023,521339.54305
isr,2024,
ita,2000,1541756.5177
ita,2001,1597668.5052
ita,2002,1639680.5006
ita,2003,1673462.4146
ita,2004,1704921.305
ita,2005,1746658.1099
ita,2006,1886969.7504
ita,2007,1995607.5965
ita,2008,2089717.307
ita,2009,2044812.137
ita,2010,2083742.4361
ita,2011,2173169.9605
ita,2012,2172383.1081
ita,2013,2187376.6067
ita,2014,2200256.4092
ita,2015,2240922.4831
ita,2016,2420672.1414
ita,2017,2517184.4682
ita,2018,2600326.8715
ita,2019,2775612.585
ita,2020,2627330.0528
ita,2021,2950840.1855
ita,2022,3295257.3452
ita,2023,3452506.0458
ita,2024,
jpn,2000,3461199.2106
jpn,2001,3552841.4415
jpn,2002,3647933.2424
jpn,2003,3753919.246
jpn,2004,3938955.7655
jpn,2005,4110440.4856
jpn,2006,4300322.1884
jpn,2007,4482081.2901
jpn,2008,4517267.5241
jpn,2009,4295628.9858
jpn,2010,4525401.3057
jpn,2011,4629400.4667
jpn,2012,4799612.8798
jpn,2013,5021591.1036
jpn,2014,5034454.6188
jpn,2015,5199915.2225
jpn,2016,5158900.4143
jpn,2017,5262254.9665
jpn,2018,5344060.9367
jpn,2019,5404462.293
jpn,2020,5358320.7045
jpn,2021,5599031.7911
jpn,2022,5895687.8121
jpn,2023,6251558.7941
jpn,2024,
korea,2000,871475.63841
korea,2001,934349.29198
korea,2002,1019446.6858
korea,2003,1058222.7373
korea,2004,1143105.5677
korea,2005,1213618.157
korea,2006,1302227.9914
korea,2007,1414985.9505
korea,2008,1468996.086
korea,2009,1454994.4062
korea,2010,1572680.4395
korea,2011,1625275.4556
korea,2012,1684562.9284
korea,2013,1726902.7533
korea,2014,1792600.2372
korea,2015,1933588.9473
korea,2016,2026967.8218
korea,2017,2103651.2599
korea,2018,2220442.2864
korea,2019,2270666.0713
korea,2020,2340031.0745
korea,2021,2514520.6547
korea,2022,2667437.7031
korea,2023,2794196.3416
korea,2024,
lva,2000,19036.299336
lva,2001,21144.850311
lva,2002,23289.290476
lva,2003,25308.47834
lva,2004,27788.892513
lva,2005,31150.31468
lva,2006,35181.659144
lva,2007,40135.386064
lva,2008,42617.27827
lva,2009,36458.263065
lva,2010,37134.922586
lva,2011,39646.253142
lva,2012,43311.684256
lva,2013,45564.594064
lva,2014,47483.105984
lva,2015,49384.455622
lva,2016,52362.403768
lva,2017,55691.291498
lva,2018,59505.491911
lva,2019,63719.807834
lva,2020,64107.97166
lva,2021,69307.546947
lva,2022,77254.882657
lva,2023,79976.273073
lva,2024,
ltu,2000,29560.356275
ltu,2001,32760.446435
ltu,2002,36085.770599
ltu,2003,41216.120223
ltu,2004,44006.065774
ltu,2005,48211.860358
ltu,2006,53900.68871
ltu,2007,61714.011538
ltu,2008,66270.948422
ltu,2009,57300.128429
ltu,2010,62234.747473
ltu,2011,69298.016997
ltu,2012,73809.15618
ltu,2013,79034.446034
ltu,2014,82646.585317
ltu,2015,83761.71663
ltu,2016,88700.778529
ltu,2017,95492.500711
ltu,2018,101910.42908
ltu,2019,113380.06547
ltu,2020,115060.32611
ltu,2021,129987.04926
ltu,2022,144405.80515
ltu,2023,148985.53152
ltu,2024,
lux,2000,24050.724079
lux,2001,24788.008242
lux,2002,26135.007249
lux,2003,27188.061152
lux,2004,29636.183732
lux,2005,31997.213941
lux,2006,37280.663799
lux,2007,40861.436152
lux,2008,44452.834764
lux,2009,43244.043185
lux,2010,45801.233882
lux,2011,48970.829502
lux,2012,51308.748908
lux,2013,54838.627135
lux,2014,58578.312019
lux,2015,61437.294432
lux,2016,65980.114016
lux,2017,68570.172966
lux,2018,70825.278429
lux,2019,75270.516158
lux,2020,76983.048438
lux,2021,88295.108871
lux,2022,95651.470514
lux,2023,95838.933541
lux,2024,
mex,2000,1154351.1167
mex,2001,1175035.9138
mex,2002,1194403.4115
mex,2003,1242555.2513
mex,2004,1321401.6715
mex,2005,1403085.8707
mex,2006,1559647.5724
mex,2007,1635081.229
mex,2008,1730732.4572
mex,2009,1701569.771
mex,2010,1807626.7903
mex,2011,1989887.9958
mex,2012,2103287.6769
mex,2013,2150334.1506
mex,2014,2254435.5136
mex,2015,2309023.8603
mex,2016,2457812.6304
mex,2017,2528308.4916
mex,2018,2606266.0382
mex,2019,2638763.901
mex,2020,2453576.0453
mex,2021,2677522.4069
mex,2022,3042136.9613
mex,2023,3288671.5014
mex,2024,
nld,2000,507623.54871
nld,2001,532572.4205
nld,2002,556285.4649
nld,2003,554118.60139
nld,2004,583063.53649
nld,2005,614044.11974
nld,2006,670411.39131
nld,2007,719961.53824
nld,2008,763407.57451
nld,2009,736521.81822
nld,2010,748292.70626
nld,2011,777880.90732
nld,2012,792041.82762
nld,2013,827475.78789
nld,2014,830318.42984
nld,2015,851884.69668
nld,2016,890488.55509
nld,2017,943739.61948
nld,2018,996447.28776
nld,2019,1059591.1451
nld,2020,1065124.5125
nld,2021,1186870.1857
nld,2022,1319462.3419
nld,2023,1398445.3129
nld,2024,
nzl,2000,82943.6629
nzl,2001,87392.883577
nzl,2002,92026.219478
nzl,2003,96600.579674
nzl,2004,102582.02163
nzl,2005,106149.15158
nzl,2006,116097.15861
nzl,2007,123983.9672
nzl,2008,127057.68671
nzl,2009,132016.50013
nzl,2010,135802.27848
nzl,2011,143366.90677
nzl,2012,145420.38982
nzl,2013,160995.39498
nzl,2014,168455.5552
nzl,2015,172798.0506
nzl,2016,188309.84415
nzl,2017,203167.91503
nzl,2018,208272.51154
nzl,2019,224879.01119
nzl,2020,230500.43242
nzl,2021,246334.26959
nzl,2022,267114.16838
nzl,2023,282620.8505
nzl,2024,
nor,2000,166105.11999
nor,2001,170770.90161
nor,2002,172705.27759
nor,2003,176590.09236
nor,2004,195950.2831
nor,2005,221764.78004
nor,2006,253397.18201
nor,2007,264566.36069
nor,2008,295976.04962
nor,2009,268567.1284
nor,2010,284650.37726
nor,2011,309370.33737
nor,2012,330093.37266
nor,2013,342254.47516
nor,2014,340765.25621
nor,2015,315145.01999
nor,2016,310303.32194
nor,2017,340837.01406
nor,2018,373182.53071
nor,2019,379377.62783
nor,2020,361019.82999
nor,2021,482471.58561
nor,2022,678063.52294
nor,2023,576335.26945
nor,2024,
pol,2000,408352.6277
pol,2001,425433.44573
pol,2002,451281.40421
pol,2003,469501.377
pol,2004,509887.6611
pol,2005,530377.33893
pol,2006,577925.80548
pol,2007,640678.92211
pol,2008,697829.21398
pol,2009,734012.74566
pol,2010,794607.80366
pol,2011,862451.78583
pol,2012,897877.7632
pol,2013,925133.24513
pol,2014,962317.65372
pol,2015,1018896.5626
pol,2016,1069459.0601
pol,2017,1137654.1484
pol,2018,1216240.4935
pol,2019,1347315.6277
pol,2020,1376571.302
pol,2021,1527349.8888
pol,2022,1720333.6294
pol,2023,1814628.1344
pol,2024,
prt,2000,194263.63503
prt,2001,202390.92693
prt,2002,212108.89591
prt,2003,218089.8641
prt,2004,225177.00905
prt,2005,238691.18553
prt,2006,259717.0645
prt,2007,271364.85938
prt,2008,281542.54947
prt,2009,279615.95341
prt,2010,288193.44389
prt,2011,282620.90978
prt,2012,277991.75943
prt,2013,292135.19867
prt,2014,298951.67304
prt,2015,307230.00793
prt,2016,326364.37897
prt,2017,340370.32496
prt,2018,359198.93197
prt,2019,389285.60418
prt,2020,369405.75308
prt,2021,401863.05035
prt,2022,463068.41836
prt,2023,513246.4351
prt,2024,
svk,2000,61312.882157
svk,2001,66642.226323
svk,2002,71578.564922
svk,2003,76204.614615
svk,2004,81802.433931
svk,2005,89400.317183
svk,2006,101625.52352
svk,2007,114088.17953
svk,2008,127626.82723
svk,2009,124317.73691
svk,2010,136934.91154
svk,2011,141755.31341
svk,2012,145972.53598
svk,2013,151678.24649
svk,2014,157298.52634
svk,2015,163007.44939
svk,2016,161498.69736
svk,2017,163951.20007
svk,2018,170864.1651
svk,2019,185132.19159
svk,2020,191068.62906
svk,2021,205855.6588
svk,2022,223011.88388
svk,2023,242304.99486
svk,2024,
svn,2000,35807.624504
svn,2001,37757.091942
svn,2002,40372.329547
svn,2003,42136.989253
svn,2004,45455.173305
svn,2005,47716.593753
svn,2006,51617.18805
svn,2007,55652.532441
svn,2008,59839.585676
svn,2009,56166.2214
svn,2010,56995.828547
svn,2011,59391.554776
svn,2012,59745.667368
svn,2013,61744.434046
svn,2014,63653.392404
svn,2015,65265.908857
svn,2016,70079.358696
svn,2017,75438.709096
svn,2018,80823.475126
svn,2019,89274.237135
svn,2020,88387.536208
svn,2021,98030.010244
svn,2022,108306.59853
svn,2023,116540.1443
svn,2024,
esp,2000,875738.39969
esp,2001,937760.30215
esp,2002,1009753.3398
esp,2003,1056695.3196
esp,2004,1122166.0718
esp,2005,1205129.0383
esp,2006,1363886.8195
esp,2007,1468826.952
esp,2008,1528583.7562
esp,2009,1487853.7871
esp,2010,1475426.6128
esp,2011,1489594.9525
esp,2012,1483654.0969
esp,2013,1512561.9829
esp,2014,1558986.3891
esp,2015,1621825.0086
esp,2016,1734116.1611
esp,2017,1842770.4639
esp,2018,1905450.0213
esp,2019,2061661.8157
esp,2020,1845714.5439
esp,2021,2068304.3899
esp,2022,2326110.5761
esp,2023,2553109.781
esp,2024,
swe,2000,262809.96035
swe,2001,266313.43321
swe,2002,276017.77194
swe,2003,285020.58107
swe,2004,304517.13581
swe,2005,309212.8666
swe,2006,342606.78604
swe,2007,374289.05449
swe,2008,388684.18957
swe,2009,374528.18977
swe,2010,395912.73806
swe,2011,421515.99792
swe,2012,432488.30255
swe,2013,444616.5443
swe,2014,457507.7578
swe,2015,481170.72319
swe,2016,500423.66516
swe,2017,522476.82498
swe,2018,544594.07091
swe,2019,588258.38964
swe,2020,597293.43695
swe,2021,660102.50677
swe,2022,714036.82784
swe,2023,739741.19905
swe,2024,
che,2000,263627.58024
che,2001,273454.23814
che,2002,281956.01015
che,2003,284293.18098
che,2004,296889.76298
che,2005,308825.09989
che,2006,346323.24521
che,2007,384574.4939
che,2008,411512.11504
che,2009,410201.39432
che,2010,425928.09164
che,2011,454911.97679
che,2012,475340.88759
che,2013,498760.65784
che,2014,519299.8747
che,2015,540550.99591
che,2016,563950.47029
che,2017,576360.57604
che,2018,601868.00793
che,2019,632274.54779
che,2020,630567.34339
che,2021,710318.65737
che,2022,796369.10007
che,2023,822862.41793
che,2024,
tur,2000,609011.36277
tur,2001,595895.88422
tur,2002,612446.63391
tur,2003,641097.25344
tur,2004,735785.83657
tur,2005,815102.37119
tur,2006,945292.20404
tur,2007,1043000.4135
tur,2008,1139548.4348
tur,2009,1112437.9089
tur,2010,1268554.3673
tur,2011,1454111.8716
tur,2012,1550688.4843
tur,2013,1703669.6015
tur,2014,1860470.9201
tur,2015,2022397.7781
tur,2016,2116398.3032
tur,2017,2264269.3401
tur,2018,2303774.9296
tur,2019,2350307.886
tur,2020,2391488.9462
tur,2021,2662213.1063
tur,2022,3259417.5033
tur,2023,3767230.1297
tur,2024,
gbr,2000,1562408.6571
gbr,2001,1650356.8934
gbr,2002,1727032.1294
gbr,2003,1808368.0198
gbr,2004,1922941.3609
gbr,2005,1976697.8676
gbr,2006,2113504.388
gbr,2007,2178375.4981
gbr,2008,2271084.6567
gbr,2009,2181121.1293
gbr,2010,2290196.8992
gbr,2011,2354769.7869
gbr,2012,2442463.44
gbr,2013,2562195.165
gbr,2014,2666663.7726
gbr,2015,2767234.1951
gbr,2016,2892299.1737
gbr,2017,3041891.8432
gbr,2018,3129647.7684
gbr,2019,3335878.3272
gbr,2020,3220295.9398
gbr,2021,3541780.6693
gbr,2022,3847919.387
gbr,2023,4026238.6268
gbr,2024,
usa,2000,10250952
usa,2001,10581929
usa,2002,10929108
usa,2003,11456450
usa,2004,12217196
usa,2005,13039197
usa,2006,13815583
usa,2007,14474228
usa,2008,14769862
usa,2009,14478067
usa,2010,15048971
usa,2011,15599732
usa,2012,16253970
usa,2013,16880683
usa,2014,17608138
usa,2015,18295019
usa,2016,18804913
usa,2017,19612102
usa,2018,20656516
usa,2019,21521395
usa,2020,21322950
usa,2021,23594031
usa,2022,25744108
usa,2023,27348000
usa,2024,
eu_two,2000,9478008.6051
eu_two,2001,9962610.6467
eu_two,2002,10421711.11
eu_two,2003,10684323.121
eu_two,2004,11226584.193
eu_two,2005,11680233.451
eu_two,2006,12728043.474
eu_two,2007,13610438.467
eu_two,2008,14293268.001
eu_two,2009,14028483.029
eu_two,2010,14510661.185
eu_two,2011,15204516.337
eu_two,2012,15434502.405
eu_two,2013,15958790.381
eu_two,2014,16442398.114
eu_two,2015,16993344.669
eu_two,2016,18066705.759
eu_two,2017,19038613.486
eu_two,2018,19960498.958
eu_two,2019,21560674.313
eu_two,2020,21088599.591
eu_two,2021,23213970.01
eu_two,2022,25649916.921
eu_two,2023,
eu_two,2024,
oecd_tot,2000,29696848.348
oecd_tot,2001,30853597.841
oecd_tot,2002,32035353.636
oecd_tot,2003,33236806.539
oecd_tot,2004,35250256.822
oecd_tot,2005,37175693.504
oecd_tot,2006,39947564.529
oecd_tot,2007,42208140.679
oecd_tot,2008,43637125.62
oecd_tot,2009,42709602.028
oecd_tot,2010,44675042.942
oecd_tot,2011,46757748.365
oecd_tot,2012,48298938.04
oecd_tot,2013,50363028.358
oecd_tot,2014,52155004.686
oecd_tot,2015,53997734.011
oecd_tot,2016,56236096.348
oecd_tot,2017,58746184.883
oecd_tot,2018,61377448.072
oecd_tot,2019,64365383.631
oecd_tot,2020,63466708.045
oecd_tot,2021,69931114.866
oecd_tot,2022,77214274.458
oecd_tot,2023,
oecd_tot,2024,
non_oecd,2000,
non_oecd,2001,
non_oecd,2002,
non_oecd,2003,
non_oecd,2004,
non_oecd,2005,
non_oecd,2006,
non_oecd,2007,
non_oecd,2008,
non_oecd,2009,
non_oecd,2010,
non_oecd,2011,
non_oecd,2012,
non_oecd,2013,
non_oecd,2014,
non_oecd,2015,
non_oecd,2016,
non_oecd,2017,
non_oecd,2018,
non_oecd,2019,
non_oecd,2020,
non_oecd,2021,
non_oecd,2022,
non_oecd,2023,
non_oecd,2024,
arg,2000,478488.39955
arg,2001,467691.4805
arg,2002,423215.7072
arg,2003,469708.61343
arg,2004,470358.83898
arg,2005,528046.72438
arg,2006,588133.94917
arg,2007,658480.35638
arg,2008,698398.18586
arg,2009,661115.95362
arg,2010,736904.55064
arg,2011,797263.88151
arg,2012,819219.8544
arg,2013,848625.29801
arg,2014,838428.06307
arg,2015,865155.58026
arg,2016,882649.21683
arg,2017,1035699.0681
arg,2018,1090043.1699
arg,2019,1057633.1599
arg,2020,1011474.4211
arg,2021,1193349.3755
arg,2022,1346025.3776
arg,2023,
arg,2024,
bgr,2000,52475.183233
bgr,2001,55752.042888
bgr,2002,61023.358461
bgr,2003,65448.890383
bgr,2004,71008.590259
bgr,2005,78822.024049
bgr,2006,86713.066558
bgr,2007,96748.342664
bgr,2008,107495.14393
bgr,2009,105567.96907
bgr,2010,110607.87534
bgr,2011,115717.18103
bgr,2012,119285.49251
bgr,2013,120960.19451
bgr,2014,127258.73735
bgr,2015,131975.36414
bgr,2016,143025.18156
bgr,2017,151835.51464
bgr,2018,161617.65814
bgr,2019,178072.55631
bgr,2020,178455.22676
bgr,2021,202250.627
bgr,2022,229316.11533
bgr,2023,248787.45975
bgr,2024,
chn,2000,3683894.3299
chn,2001,4080839.0506
chn,2002,4522776.0491
chn,2003,5075030.6042
chn,2004,5738577.1104
chn,2005,6592895.6682
chn,2006,7660753.6479
chn,2007,8988028.7412
chn,2008,10045320.631
chn,2009,11057232.635
chn,2010,12381937.773
chn,2011,13844365.747
chn,2012,15212934.896
chn,2013,16374802.624
chn,2014,17423231.006
chn,2015,18216461.171
chn,2016,19265340.75
chn,2017,20594683.305
chn,2018,22453856.739
chn,2019,24300741.762
chn,2020,25246667.776
chn,2021,28821649.24
chn,2022,31773150.452
chn,2023,34643709.601
chn,2024,
hrv,2000,47673.820615
hrv,2001,50099.655867
hrv,2002,54959.263855
hrv,2003,58945.854234
hrv,2004,63254.976123
hrv,2005,66614.061731
hrv,2006,76044.478668
hrv,2007,84385.054632
hrv,2008,90652.259889
hrv,2009,87287.748423
hrv,2010,86312.715383
hrv,2011,90541.91059
hrv,2012,91885.124583
hrv,2013,94559.027002
hrv,2014,95213.952671
hrv,2015,98626.189956
hrv,2016,106148.32685
hrv,2017,112986.604
hrv,2018,119194.96456
hrv,2019,131432.65916
hrv,2020,124224.01686
hrv,2021,144431.93867
hrv,2022,163504.39322
hrv,2023,176898.71822
hrv,2024,
rou,2000,131265.03471
rou,2001,144314.01811
rou,2002,155641.01768
rou,2003,163110.67589
rou,2004,192863.56789
rou,2005,204714.61968
rou,2006,244928.1318
rou,2007,286163.55912
rou,2008,344670.94713
rou,2009,338739.76204
rou,2010,351344.3407
rou,2011,378831.76557
rou,2012,397334.0155
rou,2013,393224.25987
rou,2014,410763.37121
rou,2015,428503.29655
rou,2016,470979.40124
rou,2017,527786.05015
rou,2018,575809.07636
rou,2019,649931.93612
rou,2020,660694.85906
rou,2021,726083.77664
rou,2022,818655.99373
rou,2023,912849.95254
rou,2024,
rus,2000,1073593.4081
rus,2001,1152998.4953
rus,2002,1253122.7773
